objectid,filename,Scientific name,Common name,Source Title,Author,Date,Description,Illustration type,Artist,Format
fungi001,fungi001.jpg,Morchella esculanta,,,,,,,,image/jpeg
fungi002,fungi002.jpg,Auricularia,,,,,,,,image/jpeg
fungi003,fungi003.jpg,Lenzites butlinus,,,,,,,,image/jpeg
fungi004,fungi004.jpg,Amanita muscaria,,,,,,,,image/jpeg
fungi005,fungi005.jpg,Clathrus ruber,,,,,,,,image/jpeg
fungi006,fungi006.jpg,Gymnopus erythropus,,,,,,,,image/jpeg
fungi007,fungi007.jpg,Clavulina cristata,,,,,,,,image/jpeg
fungi008,fungi008.jpg,Hygrocybe ceracea,,,,,,,,image/jpeg
fungi009,fungi009.jpg,Omphalotus olearius,,,,,,,,image/jpeg
fungi010,fungi010.jpg,Clavaria frigilis,,,,,,,,image/jpeg
fungi011,fungi011.jpg,Laccaria Laccata,,,,,,,,image/jpeg
fungi012,fungi012.jpg,Arcyria denudata,,,,,,,,image/jpeg
fungi013,fungi013.jpg,Tricholoma terreum,,,,,,,,image/jpeg
fungi014,fungi014.jpg,Mycena leptocephala,,,,,,,,image/jpeg
fungi015,fungi015.jpg,Mycena galericulata,,,,,,,,image/jpeg
fungi016,fungi016.jpg,Morchella esculentoides,,,,,,,,image/jpeg
fungi017,fungi017.jpg,Mycellium,,,,,,,,image/jpeg
fungi018,fungi018.jpg,Amanita muscaria ,,,,,,,,image/jpeg
fungi019,fungi019.jpg,Marasmius oreades,,,,,,,,image/jpeg
fungi020,fungi020.jpg,Macrolepiota procera,,,,,,,,image/jpeg
fungi021,fungi021.jpg,Russelae,,,,,,,,image/jpeg
fungi022,fungi022.jpg,Pleurotus,,,,,,,,image/jpeg
fungi023,fungi023.jpg,Lycoperdon,,,,,,,,image/jpeg
fungi024,fungi024.jpg,Clavaria,,,,,,,,image/jpeg
fungi025,fungi025.jpg,Laetiporus sulphureus,,,,,,,,image/jpeg
fungi026,fungi026.jpg,Agaricus,,,,,,,,image/jpeg
